label,text
ham,"Йди до точки Джуронг, божевілля... Доступно лише в буфетах та ресторанах Great World... Кінотеатр, де є більше любові..."
ham,"Гаразд, старий... Жартую з тобою..."
spam,"Безкоштовний вхід на 2 тижневі матчі за перемогу у фіналі Кубка Англії 21 травня 2005 року. Надішліть SMS-повідомлення FA на номер 87121, щоб отримати запитання для участі (стандартна ставка SMS). Діють правила та умови: 08452810075 (для осіб старше 18 років)."
ham,Ти не можеш сказати так рано... Ти вже можеш тоді сказати...
ham,"Ні, я не думаю, що він навчається в USF, він живе десь тут."
spam,"Безкоштовне повідомлення Привіт, люба, минуло вже 3 тижні, а відповіді немає! Я б хотіла трохи розважитися, ти ще готова? Підпишись! XxX стандартні платежі для відправки, грн1.50 для отримання."
ham,Навіть мій брат не хоче зі мною розмовляти. Вони ставляться до мене як до хворого на СНІД.
ham,"Згідно з вашим запитом, мелодію виклику для всіх абонентів встановлено «Melle Melle (Oru Minnaminunginte Nurungu Vettam)». Натисніть *9, щоб скопіювати мелодію виклику вашого друга."
spam,"ПЕРЕМОЖЕЦЬ!! Як цінний клієнт мережі, вас було обрано для отримання призу у розмірі 900 гривень стерлінгів! Щоб отримати приз, зателефонуйте за номером 09061701461. Введіть код KL341. Дійсний лише 12 годин."
spam,Маєте мобільний телефон 11 місяців або більше? Ви маєте право на безкоштовне оновлення до найновішої кольорової версії з камерою! Зателефонуйте до компанії Mobile Update Co БЕЗКОШТОВНО за номером 08002986030.
ham,"Я скоро буду вдома, і більше не хочу про це говорити сьогодні ввечері, гаразд? Я вже досить плакала сьогодні."
spam,"ШІСТЬ шансів виграти ГРОШІ! Від 100 до 20 000 гривень стерлінгів. Надішліть SMS-повідомлення з текстом CSH11 на номер 87575. Вартість 150 копійок/день, 6 днів, 16+. Діють умови та положення. Відповісти HL 4 info"
spam,"ТЕРМІНОВО! Ви виграли 1-тижневе БЕЗКОШТОВНЕ членство в нашому джекпоті на суму 100 000 гривень стерлінгів! Надішліть SMS-повідомлення зі словом CLAIM на номер: 81010. Правила та умови: www.dbuk.net. LCCLTD, поштова скринька 4403LDNW1A7RW18."
ham,"Я шукав правильні слова, щоб подякувати тобі за цю перепочинок. Обіцяю, що не сприйматиму твою допомогу як належне та виконаю свою обіцянку. Ти був чудовим і благословенням у всі часи."
